,country,points,price,variety,province,winery
28779,US,91,50.0,Bordeaux-style Red Blend,Washington,Avennia
28780,US,91,55.0,Pinot Noir,California,Balo
28781,France,91,29.0,Rosé,Provence,Bernard Magrez
28783,Germany,88,24.0,Riesling,Mosel,Reichsgraf von Kesselstatt
28784,US,88,20.0,Pinot Noir,Oregon,River's Edge
28785,Italy,88,58.0,Red Blend,Sicily & Sardinia,Scilio
28790,Italy,88,23.0,Red Blend,Sicily & Sardinia,I Custodi
28794,US,88,25.0,Chardonnay,California,Joullian
28796,US,88,47.0,Cabernet Sauvignon,California,Uptick Vineyards
28798,France,88,35.0,Riesling,Alsace,Wunsch & Mann
28799,Italy,88,50.0,Red Blend,Sicily & Sardinia,Zisola
28804,US,88,45.0,Cabernet Sauvignon,California,Oakville Winery
28808,US,88,25.0,Sauvignon Blanc,California,Amici
28810,US,85,18.0,Sauvignon Blanc,California,Owl Ridge
28811,US,85,27.0,Chardonnay,California,Truett Hurst
28813,France,85,17.0,Riesling,Alsace,Charles Sparr
28814,US,85,16.0,Sauvignon Blanc,California,Chasing Venus
28815,France,85,12.0,Bordeaux-style Red Blend,Bordeaux,Château Briot
28820,US,85,40.0,Bordeaux-style Red Blend,California,St. Francis
28821,US,85,20.0,Riesling,New York,Atwater
28823,US,85,24.0,Syrah,California,Daniel Gehrs
28824,US,85,22.0,Chardonnay,California,Dante Robere
28825,US,85,14.0,Riesling,New York,Heron Hill
28826,US,85,17.0,Cabernet Sauvignon,California,Jekel
28827,US,85,75.0,Cabernet Sauvignon,California,Medlock Ames
28828,France,84,20.0,Rosé,Alsace,Gustave Lorentz
28830,Chile,84,24.0,Sauvignon Blanc,Colchagua Valley,Casa Silva
28831,France,84,15.0,Bordeaux-style Red Blend,Bordeaux,Château Clos Bourbon
28832,France,84,20.0,Bordeaux-style Red Blend,Bordeaux,Château de Monbadon
28834,France,84,32.0,Riesling,Alsace,Domaine Rieflé-Landmann
28835,Chile,84,12.0,Cabernet Sauvignon,Curicó Valley,Kon Tiki
28837,Italy,84,18.0,Red Blend,Central Italy,Scambia
28838,US,84,26.0,Chardonnay,California,Simi
28839,France,84,16.0,Pinot Noir,Alsace,Charles Sparr
28841,US,86,58.0,Pinot Noir,California,Fulcrum
28842,US,86,22.0,Merlot,California,Kenwood
28844,US,86,24.0,Cabernet Sauvignon,California,Magness
28845,France,86,12.0,Bordeaux-style Red Blend,Bordeaux,Maison Givas
28849,US,86,28.0,Syrah,Oregon,Obsidian
28853,US,86,40.0,Pinot Noir,Oregon,Weisinger
28856,France,86,17.0,Bordeaux-style Red Blend,Bordeaux,Château de Virecourt
28857,France,86,28.0,Bordeaux-style Red Blend,Bordeaux,Château des Tourtes
28859,Argentina,86,12.0,Pinot Noir,Mendoza Province,Don Rodolfo
28860,US,86,25.0,Sauvignon Blanc,California,Fritz
28861,US,86,28.0,Merlot,Washington,Helix by Reininger
28863,US,86,11.0,Cabernet Sauvignon,California,Grayson
28874,US,87,25.0,Chardonnay,New York,Lamoreaux Landing
28875,Italy,87,33.0,Red Blend,Tuscany,Madonna Nera
28877,Chile,87,25.0,Chardonnay,Casablanca Valley,Morandé
28878,Italy,87,62.0,Merlot,Tuscany,Pagani de Marchi
28879,Italy,87,12.0,Red Blend,Tuscany,Perazzeta
28882,Italy,87,34.0,Red Blend,Tuscany,Massi di Mandorlaia
28888,US,87,25.0,Pinot Noir,California,Inconceivable
28891,US,86,21.0,Cabernet Sauvignon,California,Francis Coppola
28897,US,86,22.0,Riesling,New York,Treleaven
28898,Italy,86,40.0,Merlot,Tuscany,Vignamaggio
28899,US,86,21.0,Cabernet Sauvignon,California,Bianchi
28900,US,83,7.0,Bordeaux-style Red Blend,California,CK Mondavi
28902,Chile,83,10.0,Merlot,Central Valley,Cono Sur
28903,US,83,13.0,Cabernet Sauvignon,California,Healdsburg Ranches
28904,Chile,83,9.0,Cabernet Sauvignon,Central Valley,San Elias
28906,Chile,83,12.0,Merlot,Colchagua Valley,Montes
28907,Chile,83,13.0,Pinot Noir,Casablanca Valley,William Cole
28910,US,83,11.0,Cabernet Sauvignon,California,McManis
28916,US,83,20.0,Red Blend,Washington,Walter Dacon
28918,US,83,24.0,Chardonnay,California,Bedarra
28921,US,83,16.0,Merlot,California,Ca' Momi
28922,US,83,16.0,Chardonnay,California,Ca' Momi
28923,US,83,37.0,Sauvignon Blanc,California,Coquerel Family Wine Estates
28925,US,82,17.0,Merlot,California,Ancient Peaks
28927,US,82,14.0,Cabernet Sauvignon,California,Echelon
28931,Germany,90,31.0,Riesling,Mosel,Dr. H. Thanisch (Erben Thanisch)
28933,US,90,55.0,Pinot Noir,California,Goldeneye
28939,US,90,80.0,Red Blend,California,Paraduxx
28942,US,90,40.0,Chardonnay,California,Peter Paul Wines
28943,US,90,19.0,Pinot Noir,Oregon,Pike Road
28948,US,90,48.0,Pinot Noir,Oregon,Quintet
28949,US,90,45.0,Pinot Noir,Oregon,Raptor Ridge
28952,Germany,90,40.0,Riesling,Rheingau,Johannishof
28954,Germany,90,22.0,Riesling,Mosel,Kirsten
28957,US,90,42.0,Red Blend,California,Le Vigne
28958,Chile,86,9.0,Chardonnay,Cachapoal Valley,Viña La Rosa
28963,US,86,48.0,Cabernet Sauvignon,California,Silverado
28965,Argentina,86,19.0,Cabernet Sauvignon,Mendoza Province,Altocedro
28967,US,86,39.0,Red Blend,California,HammerSky
28970,US,86,28.0,Chardonnay,California,Terlato
28971,Chile,86,15.0,Chardonnay,Limarí Valley,Viña Casas Patronales
28975,France,86,17.0,Red Blend,Loire Valley,Domaine des Corbillières
28979,France,84,20.0,Sauvignon Blanc,Loire Valley,Chavet Fils
28980,US,84,18.0,Syrah,California,Corkscrew
28982,Chile,84,14.0,Sauvignon Blanc,Casablanca Valley,Morandé
28983,France,84,14.0,Sauvignon Blanc,Loire Valley,Patient Cottat
28985,France,84,15.0,Bordeaux-style Red Blend,Bordeaux,Château Haut-Bourcier
28986,France,84,16.0,Bordeaux-style Red Blend,Bordeaux,Château la Freynelle
28987,France,84,13.0,Bordeaux-style Red Blend,Bordeaux,Château la Rose du Pin
28988,France,84,14.0,Bordeaux-style Red Blend,Bordeaux,Château Lauduc
28989,France,84,15.0,Bordeaux-style Red Blend,Bordeaux,Château Pilet
28990,France,84,17.0,Bordeaux-style Red Blend,Bordeaux,Château Tessendey
28991,US,84,28.0,Syrah,Washington,Armstrong Family
28994,US,84,25.0,Pinot Noir,California,Praxis
28995,US,84,55.0,Cabernet Sauvignon,California,Rutherford Grove
28996,US,84,35.0,Red Blend,California,Rutherford Hill
28997,Chile,84,8.0,Merlot,Colchagua Valley,Viña Bisquertt
28998,Chile,84,12.0,Sauvignon Blanc,Casablanca Valley,Vistamar
28999,Chile,84,18.0,Chardonnay,Casablanca Valley,Morandé
29001,US,84,35.0,Bordeaux-style Red Blend,Washington,Brady Cellars
29002,Italy,84,17.0,Syrah,Tuscany,Capoverso
29003,France,84,16.0,Rosé,Bordeaux,Château de la Vieille Tour
29004,France,84,45.0,Bordeaux-style Red Blend,Bordeaux,Château Frédignac
29005,France,84,20.0,Bordeaux-style Red Blend,Bordeaux,Château Saint-Urban
29008,France,84,15.0,Sauvignon Blanc,Loire Valley,Domaine Beausejour
29018,Germany,87,42.0,Riesling,Mosel,Dr. Loosen
29020,Germany,87,62.0,Riesling,Mosel,Maximin Grünhäuser
29022,Germany,87,70.0,Riesling,Rheingau,Peter Jakob Kühn
29023,US,87,12.0,Riesling,New York,Prejean
29024,Germany,87,62.0,Riesling,Nahe,Prinz Salm
29028,US,87,10.0,Sauvignon Blanc,California,Line 39
29029,US,87,25.0,Pinot Noir,Oregon,Yamhill Valley
29033,US,90,20.0,Sauvignon Blanc,California,Horse & Plow
29044,Chile,90,40.0,Red Blend,Maipo Valley,Santa Rita
29048,US,90,48.0,Pinot Noir,California,Hug
29049,US,90,15.0,Sauvignon Blanc,Washington,Jones of Washington
29053,US,90,53.0,Syrah,Washington,Dusted Valley
29056,US,90,27.0,Chardonnay,California,Gundlach Bundschu
29057,US,90,60.0,Pinot Noir,California,Halleck
29058,US,90,16.0,Riesling,Washington,Tempus Cellars
29059,US,86,38.0,Pinot Noir,California,Graton Ridge
29060,US,86,19.0,Sauvignon Blanc,California,Matanzas Creek
29061,US,86,20.0,Cabernet Sauvignon,California,Olema
29064,US,86,44.0,Pinot Noir,California,Arista
29068,US,86,26.0,Cabernet Sauvignon,Colorado,Canyon Wind
29070,Spain,86,16.0,Red Blend,Catalonia,Can Blau
29073,Spain,86,10.0,Rosé,Northern Spain,Ilurce
29074,Argentina,86,15.0,Red Blend,Mendoza Province,La Posta
29077,US,86,48.0,Red Blend,California,RN Estate
29078,US,86,28.0,Cabernet Sauvignon,Oregon,Del Rio
29079,France,90,20.0,Bordeaux-style Red Blend,Bordeaux,Château Paloumey
29080,France,90,30.0,Bordeaux-style Red Blend,Bordeaux,Château Peymouton
29082,US,90,30.0,Merlot,Washington,Chateau Ste. Michelle
29083,France,90,21.0,Bordeaux-style Red Blend,Bordeaux,Château Tour de Pez
29085,US,90,14.0,Riesling,New York,Heron Hill
29087,US,90,15.0,Riesling,New York,Hosmer
29090,US,90,18.0,Riesling,New York,Keuka Lake Vineyards
29091,US,90,17.0,Riesling,New York,Keuka Spring
29094,Austria,90,50.0,Sauvignon Blanc,Südsteiermark,Erwin Sabathi
29095,US,90,34.0,Merlot,Washington,Five Star Cellars
29096,US,90,45.0,Chardonnay,California,Foley
29097,US,90,23.0,Chardonnay,Washington,Full Pull & Friends
29098,US,90,50.0,Cabernet Sauvignon,Washington,Gamache
29099,US,90,37.0,Cabernet Sauvignon,Washington,Genoa
29102,US,90,20.0,Red Blend,Washington,Wind Rose
29103,Chile,90,90.0,Cabernet Sauvignon,Maipo Valley,MontGras
29104,US,90,15.0,Red Blend,Washington,North by Northwest
29105,Austria,90,46.0,Riesling,Niederösterreich,Proidl
29108,US,90,22.0,Sauvignon Blanc,California,Silverado
29110,Germany,89,28.0,Riesling,Mosel,Dr. Heidemanns-Bergweiler
29114,US,89,40.0,Red Blend,California,Barra of Mendocino
29122,US,89,18.0,Pinot Noir,California,Scratch
29125,US,89,65.0,Syrah,California,Brave & Maiden
29129,Argentina,89,35.0,Red Blend,Mendoza Province,Septima
29131,Germany,89,20.0,Riesling,Mosel,Villa Huesgen
29132,Germany,89,40.0,Riesling,Mosel,Villa Huesgen
29136,US,89,45.0,Pinot Noir,California,Cebada
29137,France,89,46.0,Chardonnay,Burgundy,Domaine Laroche
29140,France,92,50.0,Pinot Noir,Burgundy,Chanson Père et Fils
29141,France,92,53.0,Chardonnay,Burgundy,Chanson Père et Fils
29142,France,92,70.0,Chardonnay,Burgundy,Château de Maligny
29143,US,92,65.0,Cabernet Sauvignon,California,Conn Creek
29145,France,92,84.0,Chardonnay,Burgundy,Domaine Vincent Girardin
29146,France,92,120.0,Pinot Noir,Burgundy,Domaines Devillard
29147,Spain,92,45.0,Red Blend,Levante,El Nido
29150,US,92,18.0,Syrah,California,Renaudin
29151,US,92,64.0,Cabernet Sauvignon,California,Saddleback Cellars
29152,US,92,20.0,Rosé,Washington,Southard
29153,France,92,110.0,Pinot Noir,Burgundy,Jean-Claude Boisset
29154,US,92,24.0,Syrah,California,La Clarine Farm
29155,France,92,260.0,Pinot Noir,Burgundy,Louis Latour
29156,US,92,19.0,Sauvignon Blanc,Washington,Barrister
29159,US,92,35.0,Chardonnay,Washington,Browne Family Vineyards
29161,US,92,40.0,Syrah,California,Terre Rouge
29164,US,92,95.0,Cabernet Sauvignon,Washington,Rasa
29166,US,92,48.0,Syrah,Washington,Mark Ryan
29167,US,92,30.0,Chardonnay,Washington,Efeste
29168,US,85,24.0,Pinot Noir,California,Simi
29169,US,85,10.0,Chardonnay,Washington,StoneCap
29171,US,85,50.0,Syrah,Washington,Woodinville Wine Cellars
29173,US,85,19.0,Sauvignon Blanc,California,Novy
29174,US,85,48.0,Cabernet Sauvignon,Washington,Cave B
29175,France,85,30.0,Chardonnay,Burgundy,Collovray et Terrier
29176,US,85,11.0,Cabernet Sauvignon,California,Crushed
29178,US,85,34.0,Pinot Noir,California,Hartley-Ostini
29179,France,85,23.0,Pinot Noir,Burgundy,Albert Bichot
29181,France,85,16.0,Chardonnay,Burgundy,Jacques Charlet
29185,France,85,27.0,Chardonnay,Burgundy,Georges Duboeuf
29186,France,85,19.0,Chardonnay,Burgundy,Georges Duboeuf
29187,US,85,13.0,Riesling,Washington,Girly Girl
29191,US,85,25.0,Bordeaux-style Red Blend,New York,Swedish Hill
29192,US,85,10.0,Chardonnay,California,Twin Arches
29194,US,91,42.0,Red Blend,Washington,Dusted Valley
29195,Chile,91,125.0,Syrah,Aconcagua Valley,Errazuriz
29196,US,91,38.0,Chardonnay,California,Gary Farrell
29198,US,91,38.0,Cabernet Sauvignon,Washington,Nodland
29199,US,91,20.0,Chardonnay,Oregon,J. Christopher
29201,US,91,55.0,Pinot Noir,Oregon,King Estate
29202,Austria,91,52.0,Sauvignon Blanc,Südsteiermark,Sattlerhof
29204,Spain,91,22.0,Red Blend,Catalonia,Jaspi
29205,US,91,45.0,Syrah,California,Lucia
29206,US,91,35.0,Chardonnay,California,Lynmar
29207,US,91,42.0,Pinot Noir,Oregon,Owen Roe
29208,Germany,91,23.0,Riesling,Mosel,Bischöfliche Weingüter Trier
29209,Germany,91,83.0,Riesling,Mosel,Maximin Grünhäuser
29210,Germany,91,48.0,Riesling,Rheingau,Dr. Nägler
29211,France,91,29.0,Bordeaux-style Red Blend,Bordeaux,Château Lestage Simon
29212,France,91,26.0,Bordeaux-style Red Blend,Bordeaux,Château Peymouton
29213,France,91,35.0,Bordeaux-style Red Blend,Bordeaux,Château Tour de Guiet
29215,Germany,91,54.0,Riesling,Mosel,Markus Molitor
29216,Germany,91,64.0,Riesling,Mosel,Reichsgraf von Kesselstatt
29217,US,91,38.0,Pinot Noir,California,Balletto
29218,US,91,28.0,Chardonnay,California,Breggo
29220,France,91,60.0,Rosé,Provence,Château d'Esclans
29222,US,92,60.0,Syrah,California,Tolosa
29224,Australia,92,89.0,Chardonnay,Western Australia,Leeuwin Estate
29225,Australia,92,36.0,Chardonnay,Western Australia,Leeuwin Estate
29226,US,92,52.0,Pinot Noir,California,Marimar Estate
29227,US,92,57.0,Pinot Noir,California,Merry Edwards
29233,US,92,34.0,Chardonnay,California,Riverbench
29235,US,92,50.0,Chardonnay,Oregon,Amalie Robert
29237,Spain,92,24.0,Red Blend,Catalonia,Celler Piñol
29238,US,92,65.0,Pinot Noir,Oregon,Colene Clemens
29239,US,92,25.0,Sauvignon Blanc,California,Fiddlehead
29241,Spain,92,70.0,Red Blend,Catalonia,Genium Celler
29242,Spain,92,44.0,Red Blend,Catalonia,Mas La Mola
29244,US,92,45.0,Pinot Noir,Oregon,WildAire
29246,Spain,91,30.0,Red Blend,Catalonia,Clos Pons
29247,US,91,39.0,Pinot Noir,Oregon,J. Christopher
29248,US,91,36.0,Pinot Noir,Oregon,Love & Squalor
29249,US,91,15.0,Chardonnay,Oregon,Lujon
29255,US,90,27.0,Chardonnay,California,Iron Horse
29256,US,90,17.0,Rosé,California,La Clarine Farm
29257,Chile,90,40.0,Red Blend,Colchagua Valley,La Playa
29258,US,90,42.0,Pinot Noir,California,Maldonado
29259,US,90,52.0,Cabernet Sauvignon,California,Medlock Ames
29260,Germany,90,13.0,Riesling,Mosel,Karl Kaspar
29262,US,90,40.0,Cabernet Sauvignon,Washington,Double Canyon
29263,US,90,40.0,Cabernet Sauvignon,California,Gallo Signature Series
29264,US,90,30.0,Syrah,Washington,Gamache
29266,US,90,95.0,Pinot Noir,California,Hanzell
29267,US,90,28.0,Chardonnay,Washington,àMaurice
29268,US,90,17.0,Syrah,Washington,Barnard Griffin
29269,US,90,28.0,Syrah,Washington,Barrister
29270,US,90,24.0,Sauvignon Blanc,California,Bougetz
29271,US,90,11.0,Sauvignon Blanc,Washington,Chateau Ste. Michelle
29275,US,90,50.0,Pinot Noir,California,De Loach
29276,Germany,90,35.0,Riesling,Mosel,Dr. Hermann
29277,Germany,90,32.0,Riesling,Mosel,Dr. Hermann
29278,US,90,38.0,Chardonnay,California,Jax
29279,US,90,25.0,Syrah,California,Tin Barn
29280,US,90,32.0,Chardonnay,California,Trefethen
29281,Germany,90,25.0,Riesling,Mosel,Ansgar Clüsserath
29282,US,89,26.0,Syrah,Washington,Plumb Cellars
29287,US,89,36.0,Syrah,California,City Winery of New York
29289,US,89,25.0,Riesling,Idaho,Colter's Creek
29291,France,89,20.0,Sauvignon Blanc,Loire Valley,Domaine Adèle Rouzé
29297,US,89,30.0,Pinot Noir,California,Windrun
29299,US,89,35.0,Pinot Noir,California,White Oak
29301,US,89,24.0,Syrah,California,Serena's Vineyard
29303,US,89,18.0,Red Blend,Washington,Tamarack Cellars
29307,France,89,23.0,Sauvignon Blanc,Loire Valley,Domaine Jean Teiller
29308,France,89,29.0,Sauvignon Blanc,Loire Valley,Domaine Pellé
29309,France,89,27.0,Chardonnay,Burgundy,Domaine Sangouard-Guyot
29312,US,92,18.0,Sauvignon Blanc,California,Easton
29313,US,92,40.0,Bordeaux-style Red Blend,California,Ehret
29314,US,92,40.0,Pinot Noir,California,Husch
29318,US,92,55.0,Syrah,California,Spring Mountain Vineyard
29319,US,92,40.0,Chardonnay,California,Talbott
29320,US,92,85.0,Cabernet Sauvignon,California,Ferrari-Carano
29321,France,92,25.0,Bordeaux-style Red Blend,Southwest France,Château de Corbiac
29322,US,92,42.0,Cabernet Sauvignon,California,Ferrari-Carano
29323,US,92,65.0,Cabernet Sauvignon,California,St. Supéry
29325,US,92,75.0,Cabernet Sauvignon,California,Frog's Leap
29328,US,92,40.0,Pinot Noir,Oregon,Panther Creek
29331,US,92,44.0,Cabernet Sauvignon,California,Midsummer Cellars
29332,US,92,150.0,Cabernet Sauvignon,California,Notre Vin
29335,US,92,50.0,Pinot Noir,Oregon,Cristom
29336,US,92,32.0,Chardonnay,California,Ferrari-Carano
29338,US,92,50.0,Pinot Noir,Oregon,Lemelson
29339,US,92,47.0,Cabernet Sauvignon,California,Mauritson
29340,US,92,29.0,Pinot Noir,Oregon,Siduri
29341,US,92,40.0,Pinot Noir,Oregon,Soléna
29344,Spain,87,23.0,Red Blend,Catalonia,Josep Grau Viticultor
29345,US,87,17.0,Rosé,Washington,Kestrel
29354,France,87,16.0,Bordeaux-style Red Blend,Bordeaux,Château du Vieux Puit
29356,France,87,16.0,Bordeaux-style Red Blend,Bordeaux,Château la Freynelle
29360,Portugal,87,15.0,Chardonnay,Lisboa,DFJ Vinhos
29362,Argentina,87,11.0,Cabernet Sauvignon,Mendoza Province,Black Cabra
29363,US,87,23.0,Sauvignon Blanc,California,Bota Box
29366,US,87,45.0,Pinot Noir,Oregon,Sweet Cheeks
29367,US,87,18.0,Chardonnay,California,Barra of Mendocino
29369,US,87,20.0,Sauvignon Blanc,California,Boatique
29371,US,87,12.0,Chardonnay,California,California Republic
29372,US,93,60.0,Pinot Noir,California,Merry Edwards
29373,US,93,74.0,Syrah,California,No Limit
29376,Austria,93,21.0,Riesling,Kremstal,Müller-Grossmann
29377,Austria,93,20.0,Riesling,Kamptal,Schloss Gobelsburg
29378,France,93,33.0,Rosé,Provence,Domaine Saint-André de Figuière
29379,Austria,93,33.0,Riesling,Kremstal,Malat
29380,Italy,93,60.0,Red Blend,Tuscany,Mazzei
29381,US,93,78.0,Cabernet Sauvignon,California,En Garde
29383,US,93,55.0,Pinot Noir,California,Flying Goat Cellars
29385,US,93,32.0,Cabernet Sauvignon,Washington,Gramercy
29386,US,93,50.0,Pinot Noir,California,Calera
29387,US,93,54.0,Red Blend,California,Caliza
29389,US,93,52.0,Pinot Noir,California,Cellars 33
29390,US,93,40.0,Chardonnay,California,Ramey
29391,US,93,70.0,Chardonnay,California,Reuling Vineyard
29392,US,93,55.0,Chardonnay,California,Sanford
29393,US,93,55.0,Pinot Noir,California,Siduri
29394,US,93,60.0,Pinot Noir,California,Three Sticks
29395,US,93,50.0,Pinot Noir,California,Loring Wine Company
29396,US,93,24.0,Chardonnay,California,Loring Wine Company
29397,US,93,39.0,Chardonnay,California,Williams Selyem
29398,US,93,50.0,Bordeaux-style Red Blend,Washington,Woodinville Wine Cellars
29400,US,93,36.0,Cabernet Sauvignon,California,Cooper-Garrod
29401,France,93,100.0,Pinot Noir,Burgundy,Domaine de Bellene
29402,US,88,18.0,Rosé,California,Page Mill Winery
29404,Italy,88,31.0,Chardonnay,Italy Other,Peri Bigogno
29408,France,88,23.0,Pinot Noir,Alsace,Pierre Sparr
29413,Italy,88,54.0,Chardonnay,Lombardy,Bellavista
29420,US,88,36.0,Red Blend,California,Cedarville Vineyard
29421,France,88,10.0,Bordeaux-style Red Blend,Bordeaux,Château Auguste
29422,France,88,25.0,Bordeaux-style Red Blend,Bordeaux,Château Feret Lambert
29423,France,88,13.0,Bordeaux-style Red Blend,Bordeaux,Château Haut le Valette
29425,France,88,13.0,Bordeaux-style Red Blend,Bordeaux,Château Lamothe-Vincent
29426,France,88,15.0,Bordeaux-style Red Blend,Bordeaux,Château Malbat
29428,France,88,14.0,Bordeaux-style Red Blend,Bordeaux,Château Ricaud
29429,France,88,20.0,Bordeaux-style Red Blend,Bordeaux,Château Tour de Gilet
29430,US,88,24.0,Cabernet Sauvignon,California,City Winery Chicago
29431,US,88,20.0,Red Blend,California,City Winery Chicago
29434,US,85,29.0,Merlot,California,The Magpie
29436,Argentina,85,15.0,Pinot Noir,Other,Manos Negras
29439,US,85,15.0,Red Blend,California,Murphy-Goode
29441,US,85,25.0,Syrah,California,Rusack
29444,US,85,26.0,Sauvignon Blanc,California,Sterling
29446,France,85,14.0,Rosé,Rhône Valley,Christian Leperchois
29447,US,85,7.0,Cabernet Sauvignon,California,Barefoot
29450,US,85,21.0,Sauvignon Blanc,California,Provenance Vineyards
29451,US,85,15.0,Merlot,Washington,Script & Seal
29452,US,85,16.0,Sauvignon Blanc,California,Sterling
29454,France,85,10.0,Sauvignon Blanc,Southwest France,The Gnome Knows
29455,Argentina,85,15.0,Pinot Noir,Mendoza Province,Trapiche
29456,US,85,23.0,Cabernet Sauvignon,New York,Pellegrini Vineyards
29457,US,85,18.0,Chardonnay,Virginia,The Williamsburg Winery
29458,US,85,7.0,Merlot,California,Barefoot
29461,France,85,15.0,Sauvignon Blanc,Loire Valley,Bougrier
29462,Chile,88,12.0,Cabernet Sauvignon,Central Valley,Asunto de Vino
29463,US,88,44.0,Pinot Noir,California,Belle Glos
29465,US,88,18.0,Riesling,Washington,Cave B
29466,Chile,88,22.0,Syrah,Maipo Valley,Concha y Toro
29468,US,88,25.0,Cabernet Sauvignon,Washington,Milbrandt
29469,US,88,27.0,Syrah,Washington,Nefarious
29471,US,88,12.0,Sauvignon Blanc,California,Ancient Peaks
29472,Chile,88,19.0,Merlot,Aconcagua Valley,Arboleda
29482,US,87,15.0,Sauvignon Blanc,California,Stevenot
29485,Austria,89,37.0,Red Blend,Thermenregion,Fischer
29486,US,89,70.0,Pinot Noir,California,Gary Farrell
29489,US,89,30.0,Cabernet Sauvignon,California,Vinterra
29490,US,89,92.0,Cabernet Sauvignon,California,Alpha Omega
29491,US,89,36.0,Riesling,New York,Hermann J. Wiemer
29492,US,89,17.0,Riesling,New York,Hermann J. Wiemer
29493,Austria,89,29.0,Red Blend,Burgenland,Hillinger
29495,US,89,35.0,Syrah,Washington,Lauren Ashton Cellars
29497,Chile,89,25.0,Syrah,Colchagua Valley,Montes
29507,US,89,75.0,Bordeaux-style Red Blend,California,Chateau St. Jean
29508,US,89,65.0,Cabernet Sauvignon,California,Daviana
29509,US,89,75.0,Syrah,California,David Girard
29511,US,89,29.0,Chardonnay,Washington,Dusted Valley
29513,Argentina,85,30.0,Bordeaux-style Red Blend,Mendoza Province,Zorzal
29516,US,85,26.0,Bordeaux-style Red Blend,Washington,Martinez & Martinez
29525,France,84,11.0,Rosé,Southwest France,Georges Vigouroux
29529,Spain,84,9.0,Red Blend,Northern Spain,Bodegas Aragonesas
29530,France,84,19.0,Pinot Noir,Burgundy,Pierre Gruber
29535,Portugal,84,18.0,Rosé,Alentejano,Dona Maria-Júlio Bastos
29536,US,84,45.0,Cabernet Sauvignon,California,Ehret
29537,Argentina,84,11.0,Cabernet Sauvignon,Mendoza Province,Santa Julia
29540,Portugal,84,10.0,Rosé,Vinho Verde,Caves Campelo
29542,US,84,34.0,Cabernet Sauvignon,Washington,Martinez & Martinez
29543,Italy,84,12.0,Cabernet Sauvignon,Veneto,Pizzolato
29546,France,84,11.0,Rosé,Languedoc-Roussillon,Mont Tauch
29547,France,84,16.0,Rosé,Loire Valley,Château de Fesles
29548,US,84,32.0,Cabernet Sauvignon,California,DeLorimier
29549,US,84,22.0,Merlot,California,Kenwood
29550,France,84,12.0,Pinot Noir,Burgundy,Manuel Olivier
29551,US,84,40.0,Pinot Noir,California,Bargetto
29552,US,84,15.0,Chardonnay,California,Bianchi
29555,France,84,16.0,Rosé,Languedoc-Roussillon,Château Ollieux Romanis
29558,US,84,22.0,Sauvignon Blanc,California,Kissos
29560,France,84,14.0,Pinot Noir,Burgundy,Manuel Olivier
29565,US,83,8.0,Chardonnay,California,Woodbridge
29567,US,83,11.0,Chardonnay,California,Robert Mondavi
29569,US,82,39.0,Pinot Noir,Oregon,Henry Estate
29570,US,82,21.0,Cabernet Sauvignon,Washington,Claar
29571,Australia,82,10.0,Chardonnay,South Australia,Wakefield
29573,US,82,10.0,Riesling,California,Madroña
29574,US,82,15.0,Riesling,California,Trefethen
29575,US,82,18.0,Chardonnay,California,Cedar Mountain
29576,Australia,82,18.0,Chardonnay,South Australia,Mt. Jagged
29577,US,82,14.0,Cabernet Sauvignon,California,Hawk Crest
29578,Australia,82,8.0,Cabernet Sauvignon,Australia Other,Riverina Estates
29581,US,81,20.0,Chardonnay,Oregon,Château Bianca
29582,US,81,11.0,Riesling,New York,Heron Hill
29583,US,81,10.0,Sauvignon Blanc,Oregon,Eola Hills
29585,US,88,35.0,Chardonnay,Oregon,Aubichon Cellars
29587,France,88,25.0,Sauvignon Blanc,Loire Valley,Isabelle et Pierre Clément
29588,US,88,17.0,Cabernet Sauvignon,Colorado,Kingman
29589,Argentina,88,12.0,Cabernet Sauvignon,Mendoza Province,Bodega Renacer
29593,US,88,35.0,Cabernet Sauvignon,California,Arrowood
29598,US,88,60.0,Syrah,California,Chalk Hill
29601,US,88,41.0,Red Blend,California,Cooper-Garrod
29603,France,88,20.0,Sauvignon Blanc,Loire Valley,Domaine Chavet
29610,US,88,28.0,Cabernet Sauvignon,California,Rodney Strong
29613,US,86,50.0,Merlot,California,Terra Valentine
29614,US,86,25.0,Syrah,Virginia,Fox Meadow
29618,US,86,35.0,Bordeaux-style Red Blend,New York,Mattebella
29622,US,86,36.0,Syrah,California,Rusack
29624,US,86,16.0,Pinot Noir,California,Sterling
29633,US,88,10.0,Merlot,California,Napa Family Vineyards
29634,US,88,14.0,Sauvignon Blanc,Oregon,Cor Cellars
29636,US,88,30.0,Pinot Noir,Oregon,Erath
29638,Spain,88,53.0,Red Blend,Central Spain,Gosalbez Orti
29641,France,88,15.0,Rosé,Provence,Meulnart Père et Fils
29642,US,88,16.0,Chardonnay,California,Valley of the Moon
29643,US,88,30.0,Pinot Noir,Oregon,Viento
29645,France,88,17.0,Rosé,Rhône Valley,Domaine de la Mordorée
29646,US,88,42.0,Bordeaux-style Red Blend,California,Dominus
29648,Italy,88,21.0,Red Blend,Southern Italy,Statti
29652,Italy,88,22.0,Red Blend,Southern Italy,Borgo di Colloredo
29655,US,88,100.0,Cabernet Sauvignon,California,Etude
29660,France,88,36.0,Syrah,Rhône Valley,Maison Nicolas Perrin
